Time,Open,High,Low,Last,Change,Volume
07/20/2020,837.59,849.73,832.43,845.84,8.2,2543.0
07/17/2020,823.73,838.4,821.82,837.64,13.82,2673.0
07/16/2020,832.36,836.96,821.09,823.82,-8.3499999999999,2660.0
07/15/2020,827.84,838.56,822.56,832.17,4.37,2646.0
07/14/2020,828.56,832.22,815.33,827.8,-0.69000000000005,2615.0
07/13/2020,824.61,847.46,824.48,828.49,3.87,2570.0
07/10/2020,836.23,842.36,823.63,824.62,-11.42,2607.0
07/09/2020,847.75,857.59,826.2,836.04,-11.84,2664.0
07/08/2020,836.93,853.98,835.55,847.88,10.88,2636.0
07/07/2020,819.86,841.75,811.87,837.0,17.18,2741.0
07/06/2020,807.89,831.52,807.89,819.82,11.94,2540.0
07/03/2020,808.09,814.51,805.99,807.88,-0.23000000000002,2473.0
07/02/2020,822.73,826.5,805.44,808.11,-14.74,2725.0
07/01/2020,826.6,834.18,808.63,822.85,-3.8,2770.0
06/30/2020,813.3,828.98,806.48,826.65,13.33,2791.0
06/29/2020,801.55,815.76,801.55,813.32,12.04,2667.0
06/26/2020,801.99,808.18,794.52,801.28,-0.79000000000008,2662.0
06/25/2020,802.53,807.87,792.3,802.07,-0.43999999999994005,2709.0
06/24/2020,828.98,832.79,798.0,802.51,-26.64,2664.0
06/23/2020,821.81,834.35,812.71,829.15,7.66,2764.0
06/22/2020,807.98,834.71,805.58,821.49,13.59,2673.0
06/19/2020,806.23,830.89,804.15,807.9,1.27,2672.0
06/18/2020,821.1,824.5,801.09,806.63,-15.13,2654.0
06/17/2020,823.04,829.99,812.68,821.76,-1.4,2721.0
06/16/2020,823.38,831.45,807.28,823.16,-0.55000000000007,2718.0
06/15/2020,808.85,826.84,784.68,823.71,14.88,2569.0
06/12/2020,809.64,829.89,798.23,808.83,-0.75999999999999,2750.0
06/11/2020,836.82,839.36,802.18,809.59,-27.2,2725.0
06/10/2020,833.89,842.95,820.15,836.79,2.8299999999998997,2625.0
06/09/2020,838.3,840.91,819.84,833.96,-4.4599999999999005,2608.0
06/08/2020,816.1,839.36,812.75,838.42,22.4,2567.0
06/05/2020,839.4,843.32,805.78,816.02,-23.52,2704.0
06/04/2020,832.6,843.0,825.33,839.54,7.01,2803.0
06/03/2020,843.6,846.2,826.21,832.53,-10.95,2645.0
06/02/2020,847.19,853.52,830.27,843.48,-3.36,2557.0
06/01/2020,834.35,853.27,831.46,846.84,12.77,2584.0
05/29/2020,822.34,848.32,809.49,834.07,11.82,2560.0
05/28/2020,839.02,845.32,816.18,822.25,-16.8,2535.0
05/27/2020,838.54,840.32,819.64,839.05,0.53999999999996,2870.0
05/26/2020,844.68,858.57,833.77,838.51,-6.22,2596.0
05/25/2020,832.98,844.85,821.93,844.73,11.75,2219.0
05/22/2020,833.11,842.03,821.45,832.98,-0.37,2521.0
05/21/2020,842.38,851.14,817.06,833.35,-9.1,2509.0
05/20/2020,833.17,854.44,831.76,842.45,9.09,2492.0
05/19/2020,812.0,838.19,803.8,833.36,21.36,2706.0
05/18/2020,798.54,826.04,727.45,812.0,13.45,1940.0
05/15/2020,767.52,798.71,767.52,798.55,31.11,1920.0
05/14/2020,756.96,767.89,756.57,767.44,10.49,2088.0
05/13/2020,754.9,760.97,751.68,756.95,2.0400000000001,2022.0
05/12/2020,759.12,772.35,752.46,754.91,-4.5400000000000995,2160.0
05/11/2020,767.47,776.46,753.05,759.45,-7.9,2052.0
05/08/2020,764.96,774.53,760.72,767.35,2.41,1976.0
05/07/2020,750.78,768.4,749.9,764.94,14.13,2044.0
05/06/2020,766.21,768.59,748.82,750.81,-15.41,1990.0
05/05/2020,765.99,771.3,757.54,766.22,0.75,2044.0
05/04/2020,760.17,769.32,747.14,765.47,5.0600000000001,1954.0
05/01/2020,774.3,778.06,751.82,760.41,-14.04,2006.0
04/30/2020,775.73,786.33,769.64,774.45,-1.26,2011.0
04/29/2020,772.5,781.79,765.03,775.71,3.34,2017.0
04/28/2020,762.25,777.36,754.33,772.37,10.03,1986.0
04/27/2020,762.97,771.62,754.72,762.34,-0.54999999999995,1962.0
04/24/2020,757.4,769.36,747.36,762.89,5.29,1864.0
04/23/2020,757.62,775.67,752.8,757.6,0.090000000000032,1798.0
04/22/2020,748.01,758.78,744.07,757.51,9.53,1843.0
04/21/2020,771.93,772.14,714.29,747.98,-23.95,1861.0
04/20/2020,772.95,783.95,768.43,771.93,-0.93000000000006,1848.0
04/17/2020,782.45,786.54,767.75,772.86,-9.0599999999999,1956.0
04/16/2020,776.38,793.55,769.88,781.92,5.51,1941.0
04/15/2020,775.33,787.39,767.23,776.41,1.0899999999999,1960.0
04/14/2020,749.34,786.07,748.46,775.32,25.91,2002.0
04/13/2020,749.01,750.65,739.23,749.41,0.39999999999998,2057.0
04/10/2020,745.72,750.86,745.72,749.01,3.78,1729.0
04/09/2020,732.15,752.48,730.53,745.23,12.99,2357.0
04/08/2020,735.79,744.91,726.47,732.24,-3.42,2309.0
04/07/2020,737.52,747.4,732.76,735.66,-1.9100000000001,2353.0
04/06/2020,722.52,739.45,720.98,737.57,14.77,2154.0
04/03/2020,728.91,730.27,713.5,722.8,-6.2900000000001,2354.0
04/02/2020,721.34,734.79,715.76,729.09,7.6900000000001,2220.0
04/01/2020,723.93,728.99,710.21,721.4,-2.84,2345.0
03/31/2020,726.24,737.63,719.11,724.24,-2.04,2296.0
03/30/2020,743.17,744.26,714.42,726.28,-16.75,2100.0
03/27/2020,737.84,752.88,731.08,743.03,5.0599999999999,2307.0
03/26/2020,738.97,743.28,714.58,737.97,-0.83999999999992,2247.0
03/25/2020,710.1,743.97,709.27,738.81,28.69,2205.0
03/24/2020,643.75,710.12,643.14,710.12,66.26,2107.0
03/23/2020,610.6,643.97,605.52,643.86,32.59,1748.0
03/20/2020,587.09,634.34,587.09,611.27,24.49,1887.0
03/19/2020,622.58,639.11,585.2,586.78,-35.76,1832.0
03/18/2020,661.59,675.67,603.29,622.54,-39.04,1780.0
03/17/2020,661.72,693.97,630.3,661.58,0.17000000000007,1942.0
03/16/2020,759.49,765.92,601.04,661.41,-98.75,1629.0
03/13/2020,762.68,813.03,740.34,760.16,-2.24,1986.0
03/12/2020,861.57,864.56,758.87,762.4,-99.06,2124.0
03/11/2020,870.97,885.4,861.1,861.46,-9.53,2111.0
03/10/2020,863.06,887.6,862.26,870.99,7.65,1818.0
03/09/2020,902.88,904.73,860.76,863.34,-39.53,1594.0
03/06/2020,864.98,902.87,854.51,902.87,37.9,1535.0
03/05/2020,874.16,874.5,856.51,864.97,-9.1799999999999,1801.0
03/04/2020,876.78,886.83,866.29,874.15,-2.4,1817.0
03/03/2020,860.6,876.55,859.1,876.55,15.74,1644.0
03/02/2020,863.58,881.25,851.0,860.81,-3.5100000000001,1405.0
02/28/2020,898.4,902.24,850.27,864.32,-33.95,1419.0
02/27/2020,910.67,920.6,896.5,898.27,-12.47,1637.0
02/26/2020,926.11,933.4,907.21,910.74,-15.46,1694.0
02/25/2020,963.23,967.33,923.94,926.2,-37.07,1806.0
02/24/2020,973.04,973.82,958.7,963.27,-9.78,1779.0
02/21/2020,976.41,983.84,969.64,973.05,-3.11,2029.0
02/20/2020,1005.14,1007.72,972.14,976.16,-29.02,2053.0
02/19/2020,989.89,1014.5,989.32,1005.18,15.33,2088.0
02/18/2020,968.0,990.96,966.34,989.85,21.85,2189.0
02/17/2020,962.52,969.3,962.41,968.0,5.52,2185.0
02/14/2020,969.85,973.82,961.3,962.48,-7.35,2393.0
02/13/2020,960.22,970.76,957.47,969.83,9.72,2243.0
02/12/2020,968.85,969.86,952.9,960.11,-8.76,2262.0
02/11/2020,960.84,971.21,958.59,968.87,8.0700000000001,2179.0
02/10/2020,965.24,973.78,954.18,960.8,-4.46,2088.0
02/07/2020,961.41,971.21,956.53,965.26,3.86,2137.0
02/06/2020,980.85,985.92,958.45,961.4,-19.24,2115.0
02/05/2020,963.3,983.47,959.49,980.64,17.21,2072.0
02/04/2020,965.98,979.05,957.06,963.43,-2.5500000000001,2196.0
02/03/2020,957.97,968.76,949.64,965.98,8.02,1978.0
01/31/2020,977.69,980.72,954.79,957.96,-19.66,1870.0
01/30/2020,974.39,978.51,961.23,977.62,3.36,1970.0
01/29/2020,985.49,994.89,970.73,974.26,-11.31,2051.0
01/28/2020,981.08,989.5,979.48,985.57,4.4400000000001,2142.0
01/27/2020,1003.84,1005.26,981.13,981.13,-22.62,1810.0
01/24/2020,1002.83,1012.93,999.03,1003.75,0.95000000000005,1920.0
01/23/2020,1012.26,1016.54,998.24,1002.8,-9.3900000000001,2099.0
01/22/2020,998.87,1016.15,991.6,1012.19,13.13,2104.0
01/21/2020,1017.15,1022.53,990.76,999.06,-18.07,2020.0
01/20/2020,1020.33,1027.71,1008.39,1017.13,-3.15,1947.0
01/17/2020,1002.26,1023.14,1000.91,1020.28,17.95,2047.0
01/16/2020,1017.25,1037.04,994.51,1002.33,-15.03,1952.0
01/15/2020,980.39,1020.6,980.39,1017.36,37.25,2044.0
01/14/2020,971.54,981.86,963.74,980.11,8.45,2181.0
01/13/2020,977.3,977.3,964.4,971.66,-5.9100000000001005,2116.0
01/10/2020,964.79,979.78,960.59,977.57,12.81,2164.0
01/09/2020,951.74,967.27,946.79,964.76,13.01,2159.0
01/08/2020,966.75,971.8,950.0,951.75,-15.03,2161.0
01/07/2020,960.12,971.99,954.25,966.78,6.72,2213.0
01/06/2020,978.37,989.55,953.47,960.06,-17.8,2089.0
01/03/2020,962.82,989.88,962.82,977.86,15.04,1989.0
01/02/2020,961.99,964.78,961.99,962.82,0.22000000000002998,1676.0
12/31/2019,953.87,978.04,952.95,962.6,8.38,2249.0
12/30/2019,943.26,958.04,943.26,954.22,10.94,2145.0
12/27/2019,945.59,951.31,941.09,943.28,-2.71,2234.0
