Time,Open,High,Low,Last,Change,Volume
07/20/2020,26660.29,26765.02,26504.2,26680.87,8.92,312070100.0
07/17/2020,26774.62,26808.43,26619.88,26671.95,-62.759999999997994,300520800.0
07/16/2020,26746.57,26879.16,26590.01,26734.71,-135.39,288038304.0
07/15/2020,27009.81,27071.33,26692.48,26870.1,227.51,388264896.0
07/14/2020,26044.17,26690.52,25994.98,26642.59,556.79,407342208.0
07/13/2020,26225.07,26639.09,26044.23,26085.8,10.5,428573888.0
07/10/2020,25690.35,26101.32,25637.5,26075.3,369.21,337357312.0
07/09/2020,26094.92,26103.28,25526.33,25706.09,-361.19,389177216.0
07/08/2020,25950.06,26109.49,25816.25,26067.28,177.1,337302016.0
07/07/2020,26172.01,26174.93,25866.58,25890.18,-396.85,349001216.0
07/06/2020,25996.08,26297.53,25996.08,26287.03,459.67,342259808.0
07/02/2020,25936.45,26204.41,25778.12,25827.36,92.389999999999,350287712.0
07/01/2020,25879.38,26019.31,25713.61,25734.97,-77.91,373982304.0
06/30/2020,25512.43,25905.38,25475.14,25812.88,217.08,412686496.0
06/29/2020,25152.45,25601.15,25096.16,25595.8,580.25,385133088.0
06/26/2020,25641.69,25641.69,24971.03,25015.55,-730.05,676176000.0
06/25/2020,25365.22,25751.97,25209.79,25745.6,299.66,388065888.0
06/24/2020,25992.96,25992.96,25296.73,25445.94,-710.16,452534400.0
06/23/2020,26159.39,26314.97,26105.97,26156.1,131.14,392156992.0
06/22/2020,25865.08,26059.81,25667.68,26024.96,153.5,353008800.0
06/19/2020,26213.1,26451.44,25759.66,25871.46,-208.64,681894208.0
06/18/2020,26016.45,26154.2,25848.53,26080.1,-39.510000000001995,330065696.0
06/17/2020,26330.52,26400.07,26068.41,26119.61,-170.37,330570688.0
06/16/2020,26326.68,26611.03,25838.56,26289.98,526.82,493358912.0
06/15/2020,25270.39,25891.58,24843.18,25763.16,157.62,463126016.0
06/12/2020,25659.42,25965.55,25078.41,25605.54,477.37,521185408.0
06/11/2020,26282.51,26294.08,25082.72,25128.17,-1861.82,651465600.0
06/10/2020,27251.89,27355.22,26938.05,26989.99,-282.31,449987200.0
06/09/2020,27447.37,27447.37,27151.06,27272.3,-300.14,388250912.0
06/08/2020,27232.93,27580.21,27232.48,27572.44,461.46,433344288.0
06/05/2020,26836.8,27338.3,26836.8,27110.98,829.16,544414720.0
06/04/2020,26226.49,26384.1,26082.31,26281.82,11.93,375551200.0
06/03/2020,25906.88,26337.75,25906.88,26269.89,527.24,401269088.0
06/02/2020,25582.52,25743.13,25523.74,25742.65,267.63,355236512.0
06/01/2020,25342.99,25508.83,25220.66,25475.02,91.91,341219200.0
05/29/2020,25324.15,25482.8,25031.67,25383.11,-17.529999999999,545144704.0
05/28/2020,25697.36,25758.79,25358.73,25400.64,-147.63,378403488.0
05/27/2020,25298.63,25551.56,25009.87,25548.27,553.16,420363296.0
05/26/2020,24781.84,25176.42,24781.84,24995.11,529.95,426293504.0
05/22/2020,24461.98,24481.64,24294.07,24465.16,-8.9599999999991,255663904.0
05/21/2020,24564.27,24718.46,24370.88,24474.12,-101.78,348838400.0
05/20/2020,24455.94,24649.48,24455.94,24575.9,369.04,371929888.0
05/19/2020,24577.48,24599.5,24203.97,24206.86,-390.51,376917600.0
05/18/2020,24059.98,24708.54,24059.98,24597.37,911.95,484193600.0
05/15/2020,23454.83,23730.08,23354.15,23685.42,60.079999999997995,495179296.0
05/14/2020,23049.06,23630.86,22789.62,23625.34,377.37,476984512.0
05/13/2020,23702.16,23708.9,23067.64,23247.97,-516.81,473324608.0
05/12/2020,24292.84,24382.09,23761.58,23764.78,-457.21,361561600.0
05/11/2020,24256.45,24366.21,24070.22,24221.99,-109.33,356508192.0
05/08/2020,24107.82,24349.9,24107.05,24331.32,455.43,337341408.0
05/07/2020,23837.21,24094.62,23834.39,23875.89,211.25,371684704.0
05/06/2020,23978.88,24054.59,23661.14,23664.64,-218.45,379912288.0
05/05/2020,23958.88,24169.72,23868.91,23883.09,133.33,374487104.0
05/04/2020,23581.55,23769.56,23361.16,23749.76,26.07,358391008.0
05/01/2020,24120.78,24120.78,23645.3,23723.69,-622.03,421592896.0
04/30/2020,24585.57,24585.57,24186.9,24345.72,-288.14,487843392.0
04/29/2020,24490.37,24764.77,24453.99,24633.86,532.31,462483584.0
04/28/2020,24357.17,24512.24,24031.2,24101.55,-32.23,405714592.0
04/27/2020,23866.15,24207.65,23840.61,24133.78,358.51,391018208.0
04/24/2020,23628.24,23826.0,23417.68,23775.27,260.01,379306816.0
04/23/2020,23543.09,23885.36,23487.86,23515.26,39.439999999998996,393565184.0
04/22/2020,23437.34,23613.1,23339.6,23475.82,456.94,356389504.0
04/21/2020,23365.25,23365.25,22941.88,23018.88,-631.56,487654304.0
04/20/2020,24095.1,24108.69,23627.19,23650.44,-592.05,427354496.0
04/17/2020,23817.15,24264.21,23817.15,24242.49,704.81,530277696.0
04/16/2020,23543.66,23598.08,23211.38,23537.68,33.330000000001995,478624608.0
04/15/2020,23600.72,23649.72,23233.32,23504.35,-445.41,442149600.0
04/14/2020,23690.57,24040.58,23683.44,23949.76,558.99,487956992.0
04/13/2020,23698.93,23698.93,23095.35,23390.77,-328.6,396556288.0
04/09/2020,23690.66,24008.99,23504.09,23719.37,285.8,568716224.0
04/08/2020,22893.47,23513.4,22682.99,23433.57,779.71,476091200.0
04/07/2020,23537.44,23617.24,22634.45,22653.86,-26.130000000001,595873472.0
04/06/2020,21693.63,22783.45,21693.63,22679.99,1627.46,614201024.0
04/03/2020,21285.93,21447.81,20863.09,21052.53,-360.91,451624608.0
04/02/2020,20819.46,21477.77,20735.02,21413.44,469.93,534668800.0
04/01/2020,21227.38,21487.24,20784.43,20943.51,-973.65,508314592.0
03/31/2020,22208.42,22480.37,21858.69,21917.16,-410.32,573591168.0
03/30/2020,21678.22,22378.09,21522.08,22327.48,690.7,546850112.0
03/27/2020,21898.47,22327.57,21469.27,21636.78,-915.39,591330432.0
03/26/2020,21468.38,22595.06,21427.1,22552.17,1351.62,713734720.0
