Time,Open,High,Low,Last,Change,Volume
07/20/2020,96.06,96.17,95.72,95.73,-0.28,0.0
07/17/2020,96.27,96.32,95.9,96.01,-0.25999999999998996,0.0
07/16/2020,96.0,96.4,95.89,96.27,0.27,0.0
07/15/2020,96.15,96.24,95.77,96.0,-0.15000000000001001,0.0
07/14/2020,96.55,96.7,96.15,96.15,-0.39999999999999003,0.0
07/13/2020,96.61,96.68,96.27,96.55,-0.10000000000001,0.0
07/10/2020,96.77,96.97,96.43,96.65,-0.11999999999999,0.0
07/09/2020,96.45,96.81,96.23,96.77,0.31999999999998996,0.0
07/08/2020,96.97,97.05,96.4,96.45,-0.52,0.0
07/07/2020,96.74,97.15,96.6,96.97,0.23,0.0
07/06/2020,97.18,97.19,96.56,96.74,-0.41000000000000997,0.0
07/03/2020,97.23,97.35,97.12,97.15,-0.079999999999998,0.0
07/02/2020,97.16,97.34,96.81,97.23,0.070000000000007,0.0
07/01/2020,97.39,97.62,97.02,97.16,-0.23,0.0
06/30/2020,97.42,97.8,97.23,97.39,-0.030000000000001,0.0
06/29/2020,97.46,97.64,97.11,97.42,-0.069999999999993,0.0
06/26/2020,97.38,97.68,97.25,97.49,0.11,0.0
06/25/2020,97.24,97.59,97.16,97.38,0.14,0.0
06/24/2020,96.63,97.25,96.55,97.24,0.61,0.0
06/23/2020,96.89,97.24,96.38,96.63,-0.26000000000001,0.0
06/22/2020,97.61,97.73,96.88,96.89,-0.77,0.0
06/19/2020,97.43,97.71,97.15,97.66,0.22999999999999,0.0
06/18/2020,97.07,97.58,96.95,97.43,0.36000000000001,0.0
06/17/2020,96.99,97.33,96.8,97.07,0.079999999999998,0.0
06/16/2020,96.54,97.25,96.43,96.99,0.44999999999999,0.0
06/15/2020,97.21,97.39,96.54,96.54,-0.53999999999999,0.0
06/12/2020,96.84,97.45,96.49,97.08,0.23999999999998997,0.0
06/11/2020,96.15,96.84,95.95,96.84,0.69,0.0
06/10/2020,96.45,96.45,95.71,96.15,-0.3,0.0
06/09/2020,96.62,97.06,96.22,96.45,-0.17,0.0
06/08/2020,96.84,97.06,96.59,96.62,-0.33,0.0
06/05/2020,96.75,97.03,96.44,96.95,0.2,0.0
06/04/2020,97.32,97.63,96.57,96.75,-0.5699999999999901,0.0
06/03/2020,97.57,97.62,97.18,97.32,-0.25,0.0
06/02/2020,97.87,97.9,97.43,97.57,-0.30000000000001004,0.0
06/01/2020,98.23,98.32,97.78,97.87,-0.42,0.0
05/29/2020,98.48,98.54,97.94,98.29,-0.19,0.0
05/28/2020,98.9,99.09,98.35,98.48,-0.42,0.0
05/27/2020,99.01,99.34,98.71,98.9,-0.11,0.0
05/26/2020,99.74,99.77,98.89,99.01,-0.72999999999999,0.0
05/25/2020,99.8,99.97,99.68,99.74,-0.05000000000001099,0.0
05/22/2020,99.42,99.87,99.38,99.79,0.37,0.0
05/21/2020,99.17,99.51,99.02,99.42,0.25,0.0
05/20/2020,99.55,99.56,99.0,99.17,-0.38,0.0
05/19/2020,99.62,99.73,99.23,99.55,-0.070000000000007,0.0
05/18/2020,100.4,100.46,99.58,99.62,-0.73999999999999,0.0
05/15/2020,100.27,100.48,100.08,100.36,0.090000000000003,0.0
05/14/2020,100.17,100.55,100.14,100.27,0.099999999999994,0.0
05/13/2020,100.03,100.27,99.57,100.17,0.14,0.0
05/12/2020,100.21,100.44,99.66,100.03,-0.17999999999998997,0.0
05/11/2020,99.81,100.28,99.66,100.21,1.11,0.0
05/08/2020,99.81,99.94,99.09,99.1,-0.71000000000001,0.0
05/07/2020,100.19,100.4,99.8,99.81,-0.38,0.0
05/06/2020,99.79,100.2,99.75,100.19,0.39999999999999003,0.0
05/05/2020,99.5,99.97,99.29,99.79,0.29000000000001,0.0
05/04/2020,99.1,99.59,99.08,99.5,0.8199999999999901,0.0
05/01/2020,99.1,99.21,98.64,98.68,-0.41999999999999,0.0
04/30/2020,99.49,99.72,98.8,99.1,-0.39,0.0
04/29/2020,99.86,99.88,99.46,99.49,-0.37,0.0
04/28/2020,100.08,100.2,99.45,99.86,-0.22,0.0
04/27/2020,100.22,100.31,99.83,100.08,-0.21000000000001,0.0
04/24/2020,100.51,100.86,100.18,100.29,-0.22,0.0
04/23/2020,100.47,100.69,100.03,100.51,0.030000000000001,0.0
04/22/2020,100.2,100.49,99.89,100.48,0.28,0.0
04/21/2020,99.94,100.47,99.92,100.2,0.26000000000001,0.0
04/20/2020,99.73,100.07,99.65,99.94,0.23,0.0
04/17/2020,99.9,100.29,99.62,99.71,-0.19000000000001002,0.0
04/16/2020,99.65,100.3,99.61,99.9,0.26000000000001,0.0
04/15/2020,98.84,99.97,98.81,99.64,0.8,0.0
04/14/2020,99.39,99.42,98.81,98.84,-0.53999999999999,0.0
04/13/2020,99.43,99.63,99.13,99.38,-0.10000000000001,0.0
04/10/2020,99.6,99.63,99.36,99.48,-0.11999999999999,0.0
04/09/2020,100.12,100.29,99.36,99.6,-0.52000000000001,0.0
04/08/2020,99.95,100.43,99.9,100.12,0.17,0.0
04/07/2020,100.73,100.79,99.77,99.95,-0.78999999999999,0.0
04/06/2020,100.69,100.93,100.47,100.74,0.059999999999987993,0.0
04/03/2020,100.19,100.85,100.14,100.68,0.5,0.0
04/02/2020,99.49,100.4,99.33,100.18,0.6800000000000099,0.0
04/01/2020,99.0,99.84,98.91,99.5,0.51000000000001,0.0
03/31/2020,99.21,99.94,98.89,98.99,-0.21000000000001,0.0
03/30/2020,98.45,99.31,98.28,99.2,0.90000000000001,0.0
03/27/2020,99.29,99.81,98.27,98.3,-0.99000000000001,0.0
03/26/2020,100.92,101.01,99.23,99.29,-1.62,0.0
03/25/2020,101.64,101.91,100.84,100.91,-0.75,0.0
03/24/2020,102.12,102.21,101.05,101.66,-0.45,0.0
03/23/2020,102.35,102.97,101.65,102.11,0.17,0.0
03/20/2020,102.97,102.99,101.08,101.94,-1.04,0.0
03/19/2020,100.78,102.98,100.77,102.98,2.07,0.0
03/18/2020,99.4,101.74,99.15,100.91,1.51,0.0
03/17/2020,98.12,99.83,97.98,99.4,1.28,0.0
03/16/2020,97.7,98.46,97.44,98.12,-0.5699999999999901,0.0
03/13/2020,97.47,98.81,97.33,98.69,1.22,0.0
03/12/2020,96.63,98.31,96.07,97.47,0.84999999999999,0.0
03/11/2020,96.3,96.69,95.91,96.62,0.32000000000001,0.0
03/10/2020,95.4,96.58,95.22,96.3,0.91,0.0
03/09/2020,95.78,95.78,94.65,95.39,-0.7,0.0
03/06/2020,96.61,96.7,95.71,96.09,-0.5,0.0
03/05/2020,97.38,97.43,96.51,96.59,-0.78,0.0
03/04/2020,97.16,97.59,97.11,97.37,0.23,0.0
03/03/2020,97.56,97.69,96.97,97.14,-0.37,0.0
03/02/2020,97.99,98.08,97.18,97.51,-0.61,0.0
02/28/2020,98.42,98.65,97.96,98.12,-0.25999999999998996,0.0
02/27/2020,99.01,99.05,98.36,98.38,-0.76000000000001,0.0
02/26/2020,99.08,99.26,98.91,99.14,0.15000000000001001,0.0
02/25/2020,99.32,99.38,98.88,98.99,-0.30000000000001004,0.0
02/24/2020,99.47,99.63,99.11,99.29,-0.03999999999999201,0.0
02/21/2020,99.85,99.87,99.23,99.33,-0.54000000000001,0.0
02/20/2020,99.53,99.91,99.52,99.87,0.29000000000001,0.0
02/19/2020,99.43,99.72,99.37,99.58,0.14,0.0
02/18/2020,99.19,99.47,99.13,99.44,0.3,0.0
02/17/2020,99.11,99.2,99.0,99.14,-0.019999999999996004,0.0
02/14/2020,99.12,99.16,98.99,99.16,0.060000000000002,0.0
02/13/2020,98.99,99.11,98.85,99.1,0.08999999999998899,0.0
02/12/2020,98.76,99.05,98.7,99.01,0.27000000000001,0.0
02/11/2020,98.86,98.95,98.7,98.74,-0.11,0.0
02/10/2020,98.69,98.88,98.59,98.85,0.16,0.0
02/07/2020,98.45,98.71,98.41,98.69,0.22,0.0
02/06/2020,98.29,98.57,98.2,98.47,0.22,0.0
02/05/2020,97.94,98.31,97.9,98.25,0.31999999999998996,0.0
02/04/2020,97.81,98.0,97.78,97.93,0.13000000000001,0.0
02/03/2020,97.44,97.88,97.4,97.8,0.44,0.0
01/31/2020,97.86,97.96,97.35,97.36,-0.5,0.0
01/30/2020,98.02,98.07,97.79,97.86,-0.2,0.0
01/29/2020,97.94,98.18,97.94,98.06,0.090000000000003,0.0
01/28/2020,97.95,98.15,97.9,97.97,0.03999999999999201,0.0
01/27/2020,97.81,98.0,97.78,97.93,0.05000000000001099,0.0
01/24/2020,97.71,97.94,97.66,97.88,0.19999999999999,0.0
01/23/2020,97.48,97.8,97.42,97.68,0.18000000000001,0.0
01/22/2020,97.62,97.68,97.44,97.5,-0.099999999999994,0.0
01/21/2020,97.63,97.65,97.39,97.6,-0.010000000000005,0.0
01/20/2020,97.63,97.72,97.57,97.61,-0.019999999999996004,0.0
01/17/2020,97.3,97.65,97.26,97.63,0.33,0.0
01/16/2020,97.18,97.36,97.08,97.3,0.099999999999994,0.0
01/15/2020,97.37,97.44,97.15,97.2,-0.17999999999998997,0.0
01/14/2020,97.36,97.56,97.32,97.38,0.0099999999999909,0.0
01/13/2020,97.41,97.53,97.3,97.37,0.030000000000001,0.0
01/10/2020,97.43,97.58,97.29,97.34,-0.069999999999993,0.0
01/09/2020,97.27,97.55,97.24,97.41,0.099999999999994,0.0
01/08/2020,96.82,97.35,96.81,97.31,0.35000000000000997,0.0
01/07/2020,96.65,97.09,96.62,96.96,0.33999999999999003,0.0
01/06/2020,96.84,96.89,96.54,96.62,-0.27,0.0
01/03/2020,96.78,97.1,96.71,96.89,0.099999999999994,0.0
01/02/2020,96.47,96.87,96.42,96.79,0.27000000000001,0.0
12/31/2019,96.73,96.73,96.35,96.52,-0.21000000000001,0.0
12/30/2019,97.0,97.0,96.6,96.73,-0.28,0.0
12/27/2019,97.54,97.55,96.91,97.01,-0.53999999999999,0.0
12/26/2019,97.62,97.7,97.49,97.55,-0.13000000000001,0.0
12/24/2019,97.66,97.79,97.61,97.68,0.02000000000001,0.0
12/23/2019,97.68,97.81,97.58,97.66,-0.02000000000001,0.0
12/20/2019,97.39,97.75,97.38,97.68,0.28,0.0
12/19/2019,97.4,97.48,97.22,97.4,0.0,0.0
12/18/2019,97.23,97.47,97.22,97.4,0.22,0.0
12/17/2019,97.14,97.29,97.02,97.18,0.040000000000006,0.0
12/16/2019,97.12,97.15,96.93,97.14,-0.030000000000001,0.0
12/13/2019,96.77,97.23,96.71,97.17,0.44,0.0
12/12/2019,97.08,97.51,96.58,96.73,-0.39,0.0
12/11/2019,97.51,97.59,97.03,97.12,-0.39999999999999003,0.0
12/10/2019,97.65,97.65,97.4,97.52,-0.12,0.0
12/09/2019,97.7,97.72,97.55,97.64,-0.030000000000001,0.0
12/06/2019,97.38,97.84,97.35,97.67,0.29000000000001,0.0
12/05/2019,97.59,97.59,97.35,97.38,-0.22,0.0
12/04/2019,97.7,97.78,97.43,97.6,-0.12,0.0
12/03/2019,97.89,97.94,97.64,97.72,-0.16,0.0
12/02/2019,98.27,98.37,97.81,97.88,-0.39,0.0
11/29/2019,98.34,98.54,98.22,98.27,-0.049999999999997,0.0
11/28/2019,98.33,98.39,98.26,98.32,0.0099999999999909,0.0
