Time,Open,High,Low,Last,Change,Volume
07/20/2020,170.76,171.07,170.27,170.94,0.82,10095500.0
07/17/2020,169.94,170.27,169.605,170.12,1.39,10296000.0
07/16/2020,169.8,169.995,168.65,168.73,-1.61,10242300.0
07/15/2020,169.62,170.43,169.39,170.34,0.15000000000001001,7533700.0
07/14/2020,168.97,170.2,168.8141,170.19,0.78999999999999,9812700.0
07/13/2020,170.29,170.42,169.16,169.4,0.21000000000001,11095900.0
07/10/2020,169.95,170.15,168.57,169.19,-0.44,8218000.0
07/09/2020,170.48,170.635,168.78,169.63,-0.46000000000000996,13327300.0
07/08/2020,170.32,170.8558,169.7827,170.09,1.05,11662700.0
07/07/2020,167.41,169.04,167.38,169.04,1.06,11633100.0
07/06/2020,167.75,168.0,167.1901,167.98,1.0,7265700.0
07/02/2020,166.2,167.24,166.02,166.98,0.35999999999999,8753400.0
07/01/2020,167.05,167.06,165.34,166.62,-0.75,13214700.0
06/30/2020,166.31,167.9906,166.185,167.37,0.74000000000001,12762200.0
06/29/2020,166.56,166.8,166.18,166.63,0.090000000000003,6735600.0
06/26/2020,164.87,166.56,164.22,166.54,0.73999999999998,9753400.0
06/25/2020,165.89,165.91,165.16,165.8,-0.099999999999994,7093700.0
06/24/2020,166.01,166.99,165.45,165.9,-0.57999999999998,10901400.0
06/23/2020,165.63,166.52,165.52,166.48,1.39,12137300.0
06/22/2020,165.06,165.73,164.41,165.09,1.06,12385600.0
06/19/2020,162.87,164.09,162.78,164.03,1.79,12187300.0
06/18/2020,162.2,162.32,161.44,162.24,-0.31999999999998996,5397600.0
06/17/2020,162.0,162.62,161.77,162.56,0.31,4758200.0
06/16/2020,161.85,162.685,161.36,162.25,-0.080000000000013,7969700.0
06/15/2020,160.52,162.56,160.16,162.33,-0.28999999999999,8538800.0
06/12/2020,163.41,163.88,162.56,162.62,0.23000000000002,6895300.0
06/11/2020,163.35,164.06,161.9701,162.39,-1.18,11673900.0
06/10/2020,162.1,163.63,160.52,163.57,2.31,13009300.0
06/09/2020,161.1,161.775,160.87,161.26,1.54,9045600.0
06/08/2020,158.9,159.8599,158.47,159.72,1.71,9244400.0
06/05/2020,158.72,158.72,157.035,158.01,-3.27,16021100.0
06/04/2020,161.14,161.87,159.84,161.28,1.68,10094000.0
06/03/2020,160.34,160.9,158.82,159.6,-3.0,17000500.0
06/02/2020,163.89,164.08,161.86,162.6,-1.06,10388900.0
06/01/2020,162.92,163.74,162.39,163.66,0.75,8155000.0
05/29/2020,162.58,163.4,162.32,162.91,1.19,12584000.0
05/28/2020,162.12,162.4598,160.9,161.72,0.53999999999999,9761600.0
05/27/2020,159.42,161.34,159.2,161.18,0.29000000000002,13063400.0
05/26/2020,162.58,162.58,160.69,160.89,-2.32,13972000.0
05/22/2020,162.88,163.47,162.74,163.21,0.96000000000001,8540900.0
05/21/2020,163.46,163.58,161.37,162.25,-2.4,11790900.0
05/20/2020,164.54,164.9599,163.89,164.65,0.39000000000001,10666000.0
05/19/2020,163.6,164.43,163.04,164.26,1.57,8531700.0
05/18/2020,164.33,164.495,162.4102,162.69,-1.24,14137900.0
05/15/2020,164.02,164.8,163.08,163.93,0.9200000000000199,13918800.0
05/14/2020,161.53,163.34,161.51,163.01,1.43,17084300.0
05/13/2020,160.94,161.62,160.54,161.58,1.54,10950300.0
05/12/2020,160.3,160.95,159.72,160.04,0.62,10405900.0
05/11/2020,160.34,160.71,158.89,159.42,-1.0,11209800.0
05/08/2020,161.08,162.0,160.0,160.42,-0.97,12244500.0
05/07/2020,159.5,161.96,159.36,161.39,2.44,13696400.0
05/06/2020,158.99,159.81,158.1,158.95,-2.07,13351900.0
05/05/2020,160.16,161.1,159.33,161.02,0.6800000000000099,10563000.0
05/04/2020,160.33,160.95,159.91,160.34,0.56,7986100.0
05/01/2020,158.0,160.45,157.8,159.78,0.97999999999999,10914300.0
04/30/2020,160.22,160.82,158.13,158.8,-2.93,13633400.0
04/29/2020,160.1,161.85,159.76,161.73,0.88999999999999,12232300.0
04/28/2020,160.89,160.98,159.16,160.84,-0.72,10382900.0
04/27/2020,161.88,162.0,160.41,161.56,-1.08,9033500.0
04/24/2020,163.13,163.31,160.89,162.64,-0.7000000000000199,11203500.0
04/23/2020,162.39,163.6,161.84,163.34,1.61,14928500.0
04/22/2020,160.5,161.74,160.42,161.73,3.12,12937000.0
04/21/2020,157.6,159.21,157.04,158.61,-1.09,12478000.0
04/20/2020,158.62,160.22,158.46,159.7,1.13,10688600.0
04/17/2020,159.72,160.07,158.12,158.57,-3.14,14652700.0
04/16/2020,161.88,163.15,160.65,161.71,-0.13999999999999,9233100.0
04/15/2020,161.8,162.54,160.8061,161.85,-0.83000000000001,12141800.0
04/14/2020,162.73,164.42,161.78,162.68,1.27,17095000.0
04/13/2020,159.17,162.38,158.625,161.41,2.72,20549200.0
04/09/2020,158.08,159.08,157.21,158.69,4.04,18123000.0
04/08/2020,155.91,155.94,154.59,154.65,-1.39,7600800.0
04/07/2020,155.33,156.14,154.38,156.04,-0.84,9195300.0
04/06/2020,154.16,157.22,153.96,156.88,4.23,14739200.0
04/03/2020,152.23,153.09,151.66,152.65,0.75,8469000.0
04/02/2020,151.2,152.5,150.7,151.9,2.45,9188300.0
04/01/2020,148.2,150.08,147.85,149.45,1.4,11827400.0
03/31/2020,151.36,151.8,147.97,148.05,-4.87,13319400.0
03/30/2020,152.41,153.08,151.57,152.92,0.66999999999999,12080800.0
03/27/2020,153.0,153.55,152.0,152.25,-0.99000000000001,9824500.0
03/26/2020,153.31,154.81,152.08,153.24,1.94,12778200.0
03/25/2020,152.58,152.878,151.01,151.3,-2.1,16457100.0
03/24/2020,153.5,155.66,152.05,153.4,7.1,20743400.0
03/23/2020,142.68,146.93,142.28,146.3,6.19,28275200.0
03/20/2020,140.71,141.17,139.14,140.11,2.07,20056000.0
03/19/2020,139.08,140.5,137.8503,138.04,-2.66,20828800.0
03/18/2020,141.75,142.88,138.5,140.7,-2.86,21953400.0
03/17/2020,140.18,146.2,139.93,143.56,1.92,24490200.0
03/16/2020,137.56,142.96,136.12,141.64,-1.64,24495900.0
03/13/2020,149.42,149.6,141.58,143.28,-4.51,35177200.0
03/12/2020,151.53,151.55,146.85,147.79,-6.14,32893400.0
03/11/2020,156.25,156.5,153.61,153.93,-0.54999999999998,18353300.0
03/10/2020,156.18,156.41,154.39,154.48,-3.33,18811500.0
03/09/2020,157.31,159.37,156.33,157.81,0.25999999999998996,24868600.0
03/06/2020,158.33,159.25,154.54,157.55,0.060000000000002,26973400.0
03/05/2020,156.06,157.62,155.72,157.49,3.33,17973400.0
03/04/2020,154.4,154.96,153.7,154.16,0.27000000000001,12315400.0
03/03/2020,150.84,155.24,150.735,153.89,4.69,28687600.0
03/02/2020,150.0,150.73,149.04,149.2,0.8199999999999901,16295300.0
02/28/2020,152.71,152.77,147.05,148.38,-5.62,42707100.0
02/27/2020,155.58,156.27,153.9,154.0,0.030000000000001,27878500.0
