Time,Open,High,Low,Last,Change,Volume
07/20/2020,122.2,122.22,122.02,122.11,0.08,2695900.0
07/17/2020,122.12,122.15,121.97,122.03,-0.030000000000001,2405200.0
07/16/2020,122.16,122.245,122.06,122.06,0.090000000000003,1907100.0
07/15/2020,121.83,122.09,121.815,121.97,-0.040000000000006,2085300.0
07/14/2020,122.18,122.23,121.99,122.01,-0.0099999999999909,1721800.0
07/13/2020,121.71,122.04,121.675,122.02,0.13,2051100.0
07/10/2020,122.25,122.29,121.85,121.89,-0.26000000000001,1938900.0
07/09/2020,121.77,122.23899999999999,121.76,122.15,0.41000000000000997,2769300.0
07/08/2020,121.72,121.87,121.61,121.74,-0.19000000000001002,2096600.0
07/07/2020,121.63,121.94,121.57,121.93,0.39,2920400.0
07/06/2020,121.41,121.555,121.29,121.54,-0.17999999999998997,2821900.0
07/02/2020,121.44,121.74,121.35,121.72,0.15000000000001001,3054100.0
07/01/2020,121.53,121.655,121.35,121.57,-0.19000000000001002,8416400.0
06/30/2020,122.0298,122.0797,121.6809,121.76,-0.21979999999998998,4130428.0
06/29/2020,121.8199,122.0298,121.81,121.9798,0.1199,28658166.0
06/26/2020,121.6901,121.9598,121.6651,121.8599,0.3297,3416984.0
06/25/2020,121.6901,121.72,121.5011,121.5302,0.019999999999996004,1652391.0
06/24/2020,121.1805,121.5502,121.1805,121.5102,0.2298,2312687.0
06/23/2020,121.2005,121.3204,121.1306,121.2804,-0.040000000000006,2012316.0
06/22/2020,121.5502,121.6001,121.2555,121.3204,-0.1099,2287064.0
06/19/2020,121.1206,121.5002,121.1206,121.4303,0.040000000000006,2035036.0
06/18/2020,121.4003,121.4453,121.3054,121.3903,0.2697,1696130.0
06/17/2020,121.0506,121.1605,120.8608,121.1206,0.18989999999998997,2310285.0
06/16/2020,120.7309,121.1605,120.62100000000001,120.9307,-0.24979999999998997,5256744.0
06/15/2020,121.5502,121.6301,121.1805,121.1805,-0.09990000000000501,2660401.0
06/12/2020,121.3304,121.5502,121.2175,121.2804,-0.2698,3053656.0
06/11/2020,121.5702,121.74,121.4802,121.5502,0.42960000000001,6371451.0
06/10/2020,120.5011,121.1206,120.444,121.1206,0.89919999999999,4949467.0
06/09/2020,120.2614,120.4212,120.1365,120.2214,0.42960000000001,3241425.0
06/08/2020,119.56200000000001,119.9017,119.552,119.7918,0.12989999999999,3317594.0
06/05/2020,119.4921,119.7019,119.2423,119.6619,-0.59949999999999,10621187.0
06/04/2020,120.5511,120.5611,120.1994,120.2614,-0.4795,4748286.0
06/03/2020,121.0606,121.0806,120.641,120.7409,-0.71940000000001,4230518.0
06/02/2020,121.5202,121.6251,121.3803,121.4603,-0.1998,4716056.0
06/01/2020,121.5102,121.6601,121.3803,121.6601,-0.048000000000002,8539408.0
05/29/2020,121.5184,121.7579,121.3986,121.7081,0.38930000000000997,2999505.0
05/28/2020,121.209,121.3787,121.1428,121.3188,-0.10980000000001,3881182.0
05/27/2020,121.2589,121.6082,121.2489,121.4286,0.099800000000002,2547646.0
05/26/2020,121.2689,121.3986,121.1605,121.3288,-0.3194,3491641.0
05/22/2020,121.4785,121.6482,121.4585,121.6482,0.2296,1354977.0
05/21/2020,121.4585,121.6182,121.3667,121.4186,0.079799999999992,2067633.0
05/20/2020,121.1391,121.4785,121.0493,121.3388,0.030000000000001,2371210.0
05/19/2020,120.9395,121.3288,120.9395,121.3088,0.33930000000001,1945400.0
05/18/2020,121.4286,121.4386,120.8297,120.9695,-0.7485000000000099,3097091.0
05/15/2020,121.9676,121.9965,121.6282,121.71799999999999,-0.079899999999995,1832385.0
05/14/2020,121.8178,121.9775,121.74799999999999,121.7979,0.1897,2261802.0
05/13/2020,121.5084,121.75299999999999,121.4186,121.6082,0.2495,2620685.0
05/12/2020,120.8996,121.3986,120.8796,121.3587,0.39919999999999,4275833.0
05/11/2020,121.2789,121.3437,120.8547,120.9595,-0.33929999999999,4578008.0
05/08/2020,121.3887,121.74799999999999,121.209,121.2988,-0.3993,3493445.0
05/07/2020,121.0693,121.74799999999999,121.0293,121.6981,0.73859999999999,3258999.0
05/06/2020,120.7599,121.0493,120.6201,120.9595,-0.4491,3285649.0
05/05/2020,121.219,121.4485,121.1391,121.4086,-0.0899,3494246.0
05/04/2020,121.4485,121.5883,121.3188,121.4985,0.02000000000001,3587323.0
05/01/2020,121.5583,121.6781,121.3388,121.4785,0.1677,8373628.0
04/30/2020,121.6797,121.8991,121.3108,121.3108,-0.28919999999998997,5387404.0
04/29/2020,121.6697,121.8492,121.3527,121.6,-0.059800000000010005,2607899.0
04/28/2020,121.3906,121.7246,121.3806,121.6598,0.52850000000001,2856031.0
