Time,Open,High,Low,Last,Change,Volume
07/20/2020,133.7,133.72,133.61,133.64,unch,286300.0
07/17/2020,133.7,133.7,133.6,133.64,-0.02000000000001,980900.0
07/16/2020,133.68,133.74,133.65,133.66,0.069999999999993,371000.0
07/15/2020,133.52,133.675,133.52,133.59,0.0099999999999909,829100.0
07/14/2020,133.67,133.71,133.58,133.58,-0.030000000000001,401500.0
07/13/2020,133.46,133.625,133.46,133.61,0.060000000000002,496700.0
07/10/2020,133.71,133.725,133.53,133.55,-0.10999999999999,571500.0
07/09/2020,133.54,133.7199,133.53,133.66,0.13,462800.0
07/08/2020,133.52,133.6,133.47,133.53,-0.060000000000002,563800.0
07/07/2020,133.47,133.62,133.46,133.59,0.14000000000001,879200.0
07/06/2020,133.44,133.47,133.38,133.45,-0.10000000000002,688000.0
07/02/2020,133.39,133.58,133.355,133.55,0.12,452400.0
07/01/2020,133.45,133.4859,133.37,133.43,-0.126,1044000.0
06/30/2020,133.6659,133.7059,133.506,133.556,-0.049999999999983,1663418.0
06/29/2020,133.526,133.6259,133.52100000000002,133.606,0.090000000000003,1469152.0
06/26/2020,133.4161,133.5593,133.4061,133.516,0.16979999999998,789573.0
06/25/2020,133.4061,133.4061,133.3162,133.3462,0.02000000000001,944505.0
06/24/2020,133.1863,133.3561,133.1863,133.3262,0.06989999999999001,868440.0
06/23/2020,133.2163,133.2728,133.1813,133.2563,0.05000000000001099,447781.0
06/22/2020,133.3162,133.3562,133.1963,133.2063,-0.060000000000002,574289.0
06/19/2020,133.1463,133.3312,133.1463,133.2663,0.03999999999999201,917482.0
06/18/2020,133.2762,133.2962,133.2063,133.2263,0.060000000000002,916681.0
06/17/2020,133.1663,133.2263,133.0864,133.1663,0.039900000000017,449183.0
06/16/2020,133.0265,133.2363,132.9965,133.1264,-0.059899999999999,2539265.0
06/15/2020,133.3262,133.366,133.1813,133.1863,-0.05000000000001099,992746.0
06/12/2020,133.2163,133.3362,133.1812,133.2363,-0.06989999999999001,875246.0
06/11/2020,133.3862,133.4261,133.2663,133.3062,0.039899999999989,828906.0
06/10/2020,132.9365,133.2663,132.9066,133.2663,0.4896,912578.0
06/09/2020,132.7167,132.8066,132.6908,132.7767,0.2698,3308321.0
06/08/2020,132.42700000000002,132.6068,132.42700000000002,132.5069,0.06989999999999001,1306614.0
06/05/2020,132.377,132.4969,132.2701,132.437,-0.31969999999998,1025074.0
06/04/2020,132.8566,132.8766,132.6939,132.7567,-0.19980000000001003,969126.0
06/03/2020,133.1164,133.1164,132.8766,132.9565,-0.31969999999998,2109098.0
06/02/2020,133.3362,133.3862,133.2363,133.2762,-0.090000000000003,892761.0
06/01/2020,133.3362,133.3961,133.2461,133.3662,-0.035899999999998,1731676.0
05/29/2020,133.2823,133.4221,133.2324,133.4021,0.20959999999999,2812506.0
05/28/2020,133.1226,133.2225,133.0943,133.1925,-0.0099999999999909,840195.0
05/27/2020,133.1326,133.3323,133.1326,133.2025,0.0099999999999909,902406.0
05/26/2020,133.1027,133.2125,133.0906,133.1925,-0.049900000000008,581334.0
05/22/2020,133.2524,133.3023,133.2424,133.2424,0.039900000000017,775279.0
05/21/2020,133.1825,133.2823,133.1576,133.2025,0.0099999999999909,795816.0
05/20/2020,133.1127,133.2923,133.0627,133.1925,0.0099999999999909,979443.0
05/19/2020,132.9929,133.2125,132.9929,133.1825,0.17959999999999,1036444.0
05/18/2020,133.2225,133.2424,132.923,133.0029,-0.32939999999999,958806.0
05/15/2020,133.452,133.4819,133.2923,133.3323,-0.0098999999999876,789004.0
05/14/2020,133.3323,133.46200000000002,133.3223,133.3422,0.079799999999977,1456091.0
05/13/2020,133.2524,133.3606,133.2025,133.2624,0.0899,1236200.0
05/12/2020,132.9529,133.2025,132.923,133.1725,0.15970000000002,1864118.0
05/11/2020,133.1725,133.2125,132.9629,133.0128,-0.1797,1082025.0
05/08/2020,133.2524,133.482,133.1326,133.1925,-0.13980000000001,692733.0
05/07/2020,132.9529,133.3822,132.9529,133.3323,0.4392,1299813.0
05/06/2020,132.7633,132.9429,132.7233,132.8931,-0.08979999999999701,880166.0
05/05/2020,132.9429,133.0328,132.895,132.9829,-0.029899999999997998,560698.0
05/04/2020,132.9829,133.0727,132.933,133.0128,0.029899999999997998,684718.0
05/01/2020,133.0527,133.0927,132.9231,132.9829,0.0049999999999955,1346797.0
04/30/2020,133.0776,133.2073,132.9679,132.9779,-0.049900000000008,1744136.0
04/29/2020,133.0577,133.1375,132.9049,133.0278,0.059900000000027,662900.0
04/28/2020,132.8881,133.0078,132.8831,132.9679,0.23929999999998997,768186.0
04/27/2020,132.8782,132.8782,128.7594,132.7286,-0.26920000000001004,791750.0
04/24/2020,132.9081,133.0278,132.8888,132.9978,0.029900000000026003,719253.0
04/23/2020,132.9081,133.0178,132.8782,132.9679,0.0,927518.0
04/22/2020,133.0377,133.0876,132.8732,132.9679,-0.18950000000001002,817620.0
04/21/2020,133.2472,133.317,133.1175,133.1574,0.099699999999984,2061699.0
04/20/2020,133.0377,133.0776,132.938,133.0577,0.1097,1105502.0
04/17/2020,133.0776,133.2472,132.94799999999998,132.94799999999998,-0.1396,1209484.0
04/16/2020,133.1873,133.2472,133.0676,133.0876,0.0,1061883.0
04/15/2020,132.938,133.1829,132.9081,133.0876,0.44880000000000997,1108309.0
04/14/2020,132.579,132.7286,132.579,132.6388,0.1695,988083.0
04/13/2020,132.6089,132.6388,132.4693,132.4693,-0.1396,1333521.0
04/09/2020,132.3895,132.7236,132.3396,132.6089,0.2792,1650382.0
04/08/2020,132.2499,132.4772,132.2399,132.3297,0.02000000000001,2752575.0
04/07/2020,132.1701,132.3197,132.0305,132.3097,-0.21940000000001003,2180822.0
04/06/2020,132.6887,132.6986,132.4394,132.5291,-0.3192,2333938.0
04/03/2020,132.8682,133.0976,132.8183,132.8483,0.019999999999981997,1874490.0
04/02/2020,133.0377,133.1364,132.7984,132.8283,-0.08969999999999302,2305160.0
04/01/2020,133.0776,133.1075,132.892,132.918,0.10169999999998999,3819171.0
03/31/2020,132.7466,132.9756,132.7068,132.8163,0.25900000000001,2449319.0
03/30/2020,132.7167,132.9857,132.5374,132.5573,0.019900000000007,2365791.0
03/27/2020,132.3482,132.6271,132.2286,132.5374,0.49799999999999,1524688.0
03/26/2020,131.9398,132.2984,131.8601,132.0394,0.25900000000001,1762421.0
03/25/2020,131.7107,131.9717,131.5912,131.7804,0.039799999999985,2012805.0
03/24/2020,131.8701,132.1689,131.5513,131.7406,-0.6275,4751260.0
03/23/2020,131.8501,132.5474,131.8501,132.3681,0.93629999999999,3108909.0
03/20/2020,130.6947,131.4617,130.605,131.4318,1.5539,3018053.0
03/19/2020,130.356,130.9537,129.8779,129.8779,0.27890000000002,4187244.0
03/18/2020,130.3361,130.7236,129.4197,129.599,-0.8467,5309151.0
03/17/2020,131.5414,131.875,130.4457,130.4457,-1.4443,3367927.0
03/16/2020,130.874,132.4179,130.874,131.89,1.3547,8061259.0
03/13/2020,130.5752,131.0632,130.3461,130.5353,-0.6175999999999799,3892286.0
03/12/2020,131.5613,132.4777,130.8342,131.1529,0.14939999999998999,2985123.0
03/11/2020,131.5613,131.6908,130.8939,131.0035,-0.30879999999998997,4553483.0
03/10/2020,131.6709,132.0593,131.0433,131.3123,-0.7171000000000199,2546300.0
03/09/2020,131.9697,133.0554,131.9697,132.0294,0.60760000000002,4169876.0
03/06/2020,131.8302,132.0693,131.2625,131.4218,0.4881,3485087.0
03/05/2020,130.9636,131.1031,130.8839,130.9337,0.53779999999998,1752181.0
03/04/2020,130.615,130.8691,130.3809,130.3959,-0.08959999999999,2526020.0
03/03/2020,129.5791,131.0433,129.5592,130.4855,1.0757,4023401.0
03/02/2020,129.8879,130.1567,129.3898,129.4098,-0.17830000000001003,6311688.0
02/28/2020,129.3095,129.7174,129.2001,129.5881,0.99469999999999,6184547.0
02/27/2020,128.7227,128.852,128.3248,128.5934,0.4178,2969371.0
02/26/2020,128.0562,128.4243,127.9767,128.1756,0.019900000000007,1296586.0
02/25/2020,127.9369,128.3646,127.917,128.1557,0.22879999999998998,3449822.0
02/24/2020,127.9369,128.0115,127.8275,127.9269,0.6067,645729.0
02/21/2020,127.1809,127.4893,127.171,127.3202,0.27849999999999,1029668.0
02/20/2020,126.9123,127.1113,126.8925,127.0417,0.2189,446873.0
02/19/2020,126.7731,126.8626,126.7333,126.8228,-0.049800000000005,612251.0
02/18/2020,126.8527,126.96700000000001,126.79299999999999,126.8726,0.15920000000001,573847.0
02/14/2020,126.7532,126.8089,126.6935,126.7134,0.09949999999999198,522676.0
02/13/2020,126.604,126.7035,126.584,126.6139,0.059600000000003,356392.0
02/12/2020,126.5742,126.6034,126.4946,126.5543,-0.1691,380319.0
02/11/2020,126.7631,126.8129,126.6736,126.7234,-0.179,497643.0
02/10/2020,126.9024,126.977,126.8079,126.9024,0.18900000000001002,473716.0
02/07/2020,126.6637,126.79299999999999,126.604,126.7134,0.29839999999999,960300.0
02/06/2020,126.3553,126.4548,126.3155,126.415,0.0099000000000018,385246.0
02/05/2020,126.3852,126.5095,126.3752,126.4051,-0.26849999999998997,808695.0
02/04/2020,126.7234,126.7333,126.5393,126.6736,-0.37799999999999995,740533.0
02/03/2020,126.9621,127.1113,126.7999,127.0516,-0.13030000000001,1850930.0
01/31/2020,126.9436,127.2415,126.9237,127.1819,0.3873,1129142.0
01/30/2020,126.8244,127.0131,126.7151,126.7946,0.1093,1809104.0
01/29/2020,126.4668,126.73,126.4569,126.6853,0.3078,971763.0
01/28/2020,126.5264,126.5374,126.3179,126.3775,-0.1688,596389.0
01/27/2020,126.5959,126.5959,126.4768,126.5463,0.43700000000000006,927056.0
01/24/2020,125.9504,126.2285,125.9305,126.1093,0.21850000000001002,878926.0
01/23/2020,125.8908,126.0199,125.8312,125.8908,0.1589,580379.0
