Time,Open,High,Low,Last,Change,Volume
07/20/2020,167.51,167.62,166.8,167.19,0.41,6907500.0
07/17/2020,167.27,167.4,166.47,166.78,-0.34999999999999004,8550100.0
07/16/2020,167.4,167.77,167.04,167.13,0.78999999999999,9107300.0
07/15/2020,165.92,166.945,165.8291,166.34,-0.78,7840500.0
07/14/2020,167.93,168.14,166.98,167.12,0.24000000000001,11344600.0
07/13/2020,165.5,166.96,165.23,166.88,0.54999999999998,8054000.0
07/10/2020,167.95,168.21,166.16,166.33,-0.8399999999999699,8478300.0
07/09/2020,164.66,167.45,164.6,167.17,2.62,13373000.0
07/08/2020,164.32,164.92,163.83,164.55,-0.66,7253800.0
07/07/2020,163.42,165.34,163.2,165.21,2.29,12791900.0
07/06/2020,162.33,163.02,161.75,162.92,-0.67000000000002,7972600.0
07/02/2020,162.7,163.74,162.24,163.59,0.17000000000002,7599900.0
07/01/2020,162.81,163.56,162.15,163.42,-0.31800000000001,13181200.0
06/30/2020,165.0365,165.0964,163.2885,163.738,-0.79910000000001,14859003.0
06/29/2020,164.6569,165.0764,164.1875,164.5371,-0.51939999999999,7283030.0
06/26/2020,164.0576,165.1264,163.9877,165.0565,1.7480000000000002,12133511.0
06/25/2020,164.0177,164.1575,163.2086,163.3085,0.46940000000001,10980761.0
06/24/2020,161.3408,162.899,161.3308,162.8391,1.7280000000000002,11449910.0
06/23/2020,161.2909,161.8702,160.9313,161.1111,-1.1087,9099157.0
06/22/2020,162.9989,163.227,161.8802,162.2198,0.019999999999981997,9330829.0
06/19/2020,160.8114,162.3097,160.7215,162.1998,0.12990000000002,8575744.0
06/18/2020,161.8502,162.2897,161.4207,162.0699,1.6980000000000002,7700319.0
06/17/2020,160.0823,160.5817,159.1534,160.3719,0.6592,7122242.0
06/16/2020,159.2233,161.0412,158.5141,159.7127,-2.4871,13717266.0
06/15/2020,163.69799999999998,164.0277,161.9501,162.1998,0.0899,7769900.0
06/12/2020,162.2198,163.4683,161.8602,162.1099,-1.5782,9727793.0
06/11/2020,163.0488,164.0376,162.4395,163.6881,3.0365,17106336.0
06/10/2020,159.0535,160.7115,158.8637,160.6516,2.3472,13150903.0
06/09/2020,158.8637,159.453,158.1146,158.3044,1.7779,9105865.0
06/08/2020,154.8884,156.6663,154.8684,156.5265,0.5993,10358732.0
06/05/2020,154.4289,155.9771,152.9806,155.9272,-1.1186,17799348.0
06/04/2020,158.7339,158.8238,157.0009,157.0458,-2.3073,14054962.0
06/03/2020,159.9924,160.1422,158.7538,159.3531,-2.1475,12270071.0
06/02/2020,161.4807,161.9032,161.0611,161.5006,-0.58930000000001,11530505.0
06/01/2020,161.9102,162.2497,161.4807,162.0899,-1.0987,13368958.0
05/29/2020,162.3108,163.6874,161.9567,163.1886,1.1571,14698061.0
