Time,Open,High,Low,Last,Change,Volume
07/20/2020,26.94,27.08,24.35,24.46,-1.22,0.0
07/17/2020,27.15,27.54,25.41,25.68,-2.32,0.0
07/16/2020,28.41,29.29,26.98,28.0,0.24,0.0
07/15/2020,29.15,30.09,27.17,27.76,-1.76,0.0
07/14/2020,31.14,33.67,29.21,29.52,-2.67,0.0
07/13/2020,27.85,32.45,26.87,32.19,4.9,0.0
07/10/2020,30.86,30.91,27.13,27.29,-1.97,0.0
07/09/2020,28.18,31.48,26.11,29.26,1.18,0.0
07/08/2020,28.95,30.2,27.24,28.08,-1.35,0.0
07/07/2020,28.77,29.63,27.25,29.43,1.49,0.0
07/06/2020,27.76,28.33,24.92,27.94,0.26,0.0
07/02/2020,28.33,28.44,25.9,27.68,-0.94,0.0
07/01/2020,30.96,31.76,28.2,28.62,-1.81,0.0
06/30/2020,32.54,32.94,29.56,30.43,-1.35,0.0
06/29/2020,35.05,36.31,31.78,31.78,-2.95,0.0
06/26/2020,33.01,36.25,31.04,34.73,2.51,0.0
06/25/2020,36.59,36.93,31.59,32.22,-1.62,0.0
06/24/2020,31.05,37.12,30.95,33.84,2.47,0.0
06/23/2020,31.71,31.71,29.26,31.37,-0.4,0.0
06/22/2020,35.22,35.39,31.64,31.77,-3.35,0.0
06/19/2020,32.07,35.12,30.4,35.12,2.18,0.0
06/18/2020,33.83,36.25,32.24,32.94,-0.53,0.0
06/17/2020,33.28,35.17,32.25,33.47,-0.2,0.0
06/16/2020,34.28,37.32,31.73,33.67,-0.73,0.0
06/15/2020,44.09,44.44,34.28,34.4,-1.69,0.0
06/12/2020,37.68,44.15,34.97,36.09,-4.7,0.0
06/11/2020,30.45,42.58,29.49,40.79,13.22,0.0
06/10/2020,26.73,29.01,26.06,27.57,0.0,0.0
06/09/2020,25.93,27.7,25.71,27.57,1.76,0.0
06/08/2020,25.56,25.98,24.65,25.81,1.29,0.0
06/05/2020,24.79,25.09,23.54,24.52,-1.29,0.0
06/04/2020,26.23,26.43,24.38,25.81,0.15,0.0
06/03/2020,26.75,26.98,25.04,25.66,-1.18,0.0
06/02/2020,28.4,28.52,26.66,26.84,-1.39,0.0
06/01/2020,28.94,30.6,28.11,28.23,0.72,0.0
05/29/2020,29.3,30.16,27.29,27.51,-1.08,0.0
05/28/2020,27.82,29.89,27.43,28.59,0.97,0.0
05/27/2020,27.62,30.53,25.92,27.62,-0.39,0.0
05/26/2020,27.72,28.58,27.18,28.01,-0.15,0.0
